ModelName,DatasetName,Seed,EventId,CI,IBS,MAEM,DCalib,GlobalCI,LocalCI
no_shared,proact_me,5,1,0.7448546289211936,0.3122164863170191,118.35899028478325,0.9858346986800144,0.7126032542481895,0.7713903743315508
no_shared,proact_me,5,2,0.7526023677377861,0.1500102330360912,110.64904032341852,0.9984417167215708,0.7126032542481895,0.7713903743315508
no_shared,proact_me,5,3,0.680431624818427,0.174289984122728,143.38294947750185,0.9752856519323454,0.7126032542481895,0.7713903743315508
no_shared,proact_me,5,4,0.6978191604541095,0.1800982401951662,130.66150387595738,0.1563651017065182,0.7126032542481895,0.7713903743315508
no_shared,rotterdam_me,5,1,0.6995259285581605,0.1802120091177034,1331.1119628335505,0.8384013705294057,0.7019246650961029,0.8807339449541285
no_shared,rotterdam_me,5,2,0.7047202221281001,0.2328251850011365,2611.875641183965,0.7963684345575198,0.7019246650961029,0.8807339449541285
with_shared,proact_me,6,1,0.7241951351247082,0.3308923841163673,128.688641494203,0.9851188365974968,0.6988509483264455,0.7555254848894903
with_shared,proact_me,6,2,0.7158009747474128,0.1573419966773595,102.06181317297836,0.9305055845243748,0.6988509483264455,0.7555254848894903
with_shared,proact_me,6,3,0.668483183267751,0.1738232380223655,140.40254324975,0.3425472956565831,0.6988509483264455,0.7555254848894903
with_shared,proact_me,6,4,0.6987332756778756,0.198682973290317,135.885404868517,0.5188768146918192,0.6988509483264455,0.7555254848894903
with_shared,rotterdam_me,6,1,0.6965290007385104,0.1931989139208568,1246.732030910112,0.9073003764251186,0.708113417588894,0.7916666666666666
with_shared,rotterdam_me,6,2,0.7215997127848531,0.2952626159766312,2822.0184417001187,2.9731680077316945e-30,0.708113417588894,0.7916666666666666
no_shared,proact_me,6,1,0.7181574429505604,0.3300899922784491,124.21566476721128,0.9308531591844896,0.6956807139148384,0.7586829048263419
no_shared,proact_me,6,2,0.718980566433824,0.1570480321167801,102.58560778599764,0.7527322063732242,0.6956807139148384,0.7586829048263419
no_shared,proact_me,6,3,0.6598598034813186,0.1775343470937319,143.44588384877733,0.952978121385528,0.6956807139148384,0.7586829048263419
no_shared,proact_me,6,4,0.6987205575621915,0.2031330926154165,137.8649188982617,0.809461371319262,0.6956807139148384,0.7586829048263419
no_shared,rotterdam_me,6,1,0.7056914000048693,0.1909664674657078,1228.600575414462,0.4873463653756462,0.7073843668827625,0.8869047619047619
