ModelName,Seed,Linear,Copula,KTau,L1
mtlr,0,True,clayton,0.25,0.0811202361860877
dsm,0,True,clayton,0.25,0.1120716477864979
mensa,0,True,clayton,0.25,0.0715525116435465
coxph,1,True,clayton,0.25,0.1387583068630918
coxboost,1,True,clayton,0.25,0.1777502897853026
rsf,1,True,clayton,0.25,0.1815631980079995
deepsurv,1,True,clayton,0.25,0.1171899643916748
deephit,1,True,clayton,0.25,0.0937672909854055
mtlr,1,True,clayton,0.25,0.1022749517891049
dsm,1,True,clayton,0.25,0.0617566600831819
mensa,1,True,clayton,0.25,0.0740186865037828
coxph,2,True,clayton,0.25,0.0989849632314254
coxboost,2,True,clayton,0.25,0.1692740962704268
rsf,2,True,clayton,0.25,0.1705130181699954
deepsurv,2,True,clayton,0.25,0.0906045104167131
deephit,2,True,clayton,0.25,0.1043795934867542
mtlr,2,True,clayton,0.25,0.0864939839815993
dsm,2,True,clayton,0.25,0.0958656775767867
mensa,2,True,clayton,0.25,0.0627616775435769
coxph,3,True,clayton,0.25,0.0614096906328105
coxboost,3,True,clayton,0.25,0.1571162004186868
rsf,3,True,clayton,0.25,0.1591262031557219
deepsurv,3,True,clayton,0.25,0.052772894239423
deephit,3,True,clayton,0.25,0.1200449214792052
mtlr,3,True,clayton,0.25,0.1092844245861371
dsm,3,True,clayton,0.25,0.1224969657794118
mensa,3,True,clayton,0.25,0.059433631500044
coxph,4,True,clayton,0.25,0.1291089617944747
coxboost,4,True,clayton,0.25,0.1699734201495295
rsf,4,True,clayton,0.25,0.1727941335188531
deepsurv,4,True,clayton,0.25,0.0970255901730454
deephit,4,True,clayton,0.25,0.0898876548714449
mtlr,4,True,clayton,0.25,0.0791985622553931
dsm,4,True,clayton,0.25,0.1918085264649534
mensa,4,True,clayton,0.25,0.0667661138178188
coxph,5,True,clayton,0.25,0.1289153354244038
coxboost,5,True,clayton,0.25,0.1783628521518247
rsf,5,True,clayton,0.25,0.1801135100715025
deepsurv,5,True,clayton,0.25,0.1125411881214842
deephit,5,True,clayton,0.25,0.0993455866654078
mtlr,5,True,clayton,0.25,0.0878722755637951
dsm,5,True,clayton,0.25,0.0582794882337462
mensa,5,True,clayton,0.25,0.0745072910801246
coxph,6,True,clayton,0.25,0.139224302021712
coxboost,6,True,clayton,0.25,0.1744260221815938
rsf,6,True,clayton,0.25,0.177863354181575
deepsurv,6,True,clayton,0.25,0.129304783117785
deephit,6,True,clayton,0.25,0.0880548599679673
mtlr,6,True,clayton,0.25,0.0794638394989882
dsm,6,True,clayton,0.25,0.0617781105332304
