ModelName,DatasetName,Seed,EventId,CI,IBS,MAEH,MAEM,MAEPO,DCalib,GlobalCI,LocalCI
deepsurv,proact_me,0,2,0.7400108757329298,0.1450732687080219,69.4349831076761,110.2312150936,140.19620244721682,0.9530592431582722,0.7028319310486353,0.7267784322609878
deepsurv,proact_me,0,3,0.6729138026850742,0.1777468919455913,97.04672471740672,134.74105920731677,162.59975399252698,0.4206524069231359,0.7028319310486353,0.7267784322609878
deepsurv,proact_me,0,4,0.6987093057850193,0.169332596447312,89.80590766887097,134.5376247950377,156.6927967682132,0.2268020728752088,0.7028319310486353,0.7267784322609878
deephit,proact_me,0,1,0.717286408890947,0.1837540304786748,82.70612985937936,157.24082801688442,222.2962144075753,0.1184269993857531,0.6719228401395444,0.7199818758495695
deephit,proact_me,0,2,0.7216758085871005,0.1628238653986516,65.94095130790411,107.8757583657852,144.46115472898677,0.1611983874988787,0.6719228401395444,0.7199818758495695
deephit,proact_me,0,3,0.6216180642896838,0.195812740949127,102.66686248744844,150.75899164692348,179.61377570335625,0.4627256433735675,0.6719228401395444,0.7199818758495695
deephit,proact_me,0,4,0.6578236072339645,0.1964778692931379,109.2965527893794,163.5940957725687,186.120533165205,0.1019448360108745,0.6719228401395444,0.7199818758495695
hierarch,proact_me,0,1,0.7266867330400556,0.5712530778920065,188.34590146153576,323.0258778561969,388.1137219374133,0.0,0.6972481017853478,0.7426370638876303
hierarch,proact_me,0,2,0.7382967656515983,0.6410121941348318,208.04467190003888,329.9589992563771,366.6740106783171,0.0,0.6972481017853478,0.7426370638876303
hierarch,proact_me,0,3,0.6643584193746527,0.4768308932138883,169.35467537528132,247.6321240767812,276.471531762985,0.0,0.6972481017853478,0.7426370638876303
hierarch,proact_me,0,4,0.683618501427423,0.3813062352891734,140.73272603976855,207.11929267275224,229.6433820714049,0.0,0.6972481017853478,0.7426370638876303
mtlr,proact_me,0,1,0.7463394304237092,0.1483396082174678,77.32681957420732,123.4894595122316,185.5318070712998,0.8143714744307677,0.7084424379232506,0.7544177616674218
mtlr,proact_me,0,2,0.7518323245696993,0.139585052377931,64.56413873028121,100.44006510062106,130.72036911008445,0.9879722717591368,0.7084424379232506,0.7544177616674218
mtlr,proact_me,0,3,0.6599198572640322,0.1794337559177661,96.5215296632386,140.86465041826344,166.223280565388,0.3497395017575951,0.7084424379232506,0.7544177616674218
mtlr,proact_me,0,4,0.7013109503282123,0.165668836003047,88.90074089110631,132.93374812969626,154.56430920759323,0.6573428962516841,0.7084424379232506,0.7544177616674218
dsm,proact_me,0,1,0.7433572586246816,0.1585179141056573,112.08394956738692,289.2626054569937,306.2283088048711,0.2882606322615398,0.6990170326287708,0.7358405074762121
dsm,proact_me,0,2,0.7198789483639115,0.1552292267548842,102.26067750640016,274.2230832077668,278.4293478921099,0.530309790834717,0.6990170326287708,0.7358405074762121
dsm,proact_me,0,3,0.6691625961566586,0.1821137192546831,102.80487337035828,179.24091008888465,197.4746799563115,0.0457701288969399,0.6990170326287708,0.7358405074762121
