ModelName,DatasetName,Seed,CI,IBS,MAEH,MAEM,MAEPO,DCalib
coxboost,seer_se,1,0.7633327944413598,0.1518709254180968,17.167180879783054,26.085188998093056,34.78127672196629,0.0002142658343733
rsf,seer_se,1,0.7440251138089428,0.1696862069286813,19.49257869219944,27.49741277418388,36.93682607055548,0.0029182969879972
deepsurv,seer_se,1,0.754696991137319,0.15037764016785,17.43999346503881,27.57508247427846,35.475471854307834,0.0005968443767901
deephit,seer_se,1,0.7478900678760321,0.1713015506669887,19.88799280725483,28.169020756071426,37.608535142975256,2.9915443577229763e-09
mtlr,seer_se,1,0.7040155416741293,0.1642534103932736,19.662975687504105,31.302434115199507,39.022773858699054,0.2630391699379833
dsm,seer_se,1,0.752206532369698,0.1511225487840677,19.429332828078152,39.6255221372956,43.92652138402923,0.3865836951095892
mensa,seer_se,1,0.7649572426425859,0.1474598624079713,16.36945704455473,26.09482070179964,34.451451395457646,0.385081086097261
coxph,mimic_se,1,0.745281301600895,0.1266989513684164,259.0967637195924,589.0600470804653,815.8588247700368,0.9690284857670852
coxboost,mimic_se,1,0.7311571650845803,0.1411113572957281,283.8853352161823,624.2986529214412,876.3643808888266,0.1596691297419135
rsf,mimic_se,1,0.718860209052496,0.1493130468883462,308.8816094519013,668.7165877278611,920.7823156952466,0.5202413241011142
deepsurv,mimic_se,1,0.7517288020527317,0.1235117206911947,256.19674686374066,672.5869348306103,869.4716752765535,0.9956702272101848
deephit,mimic_se,1,0.7430962901446461,0.136026542741013,270.8625278732548,639.8113951568713,891.7730824008748,5.007790169646316e-07
mtlr,mimic_se,1,0.7147238548447592,0.1331150645474308,297.52338308112337,821.8733913209002,1027.2347510144878,3.352447270197084e-18
dsm,mimic_se,1,0.7499496339636159,0.1241310583406616,249.64253892715604,633.3897497936367,853.808545782999,0.9713342824129886
mensa,mimic_se,1,0.7555562969205785,0.1216237783712333,247.5705665945625,614.1247836767137,834.6222418801893,0.9272228460671788
coxph,seer_se,2,0.7015759344577143,0.1670523907522692,20.01603947802928,29.78722316483216,38.13192512639109,0.0375916909989623
coxboost,seer_se,2,0.760659006629737,0.1523239202801513,17.21934914400947,26.570209784121648,35.05034788872797,0.0002911639992463
rsf,seer_se,2,0.7466113154989568,0.1690131866463855,19.624406473704024,27.836049371100927,37.06687020197399,0.0041653643442456
deepsurv,seer_se,2,0.7597199990994061,0.1482867743117276,17.25843052083826,28.130520940905583,35.34468887383164,0.0013030356871736
deephit,seer_se,2,0.7546379272519165,0.1704752578903837,19.646524653874067,28.68586615438664,37.97292280232985,2.8397570851903244e-11
mtlr,seer_se,2,0.6985356449272744,0.1656295773987155,19.25590605363116,30.226553535620003,38.52109720890619,0.4000751969737599
dsm,seer_se,2,0.7585874500157342,0.1495786780326541,20.22612718626267,44.78951306144716,47.24008031908962,0.7726438627385511
mensa,seer_se,2,0.7584814208019369,0.1488707488738342,16.781489465451386,27.060444387108184,34.947714185293435,0.7050842095016232
coxph,mimic_se,2,0.7319600929559105,0.1298088396828031,266.4749710520097,601.6111725423342,799.3809036342623,0.7667356658585013
coxboost,mimic_se,2,0.7137274263377181,0.1447454027584691,287.5220458380556,613.635145084653,834.9920057451794,0.2828065462296241
rsf,mimic_se,2,0.7026800416308744,0.1527566647608373,313.370286840636,660.1131807923933,881.4700414529195,0.3963125026549685
deepsurv,mimic_se,2,0.7397352666255134,0.1258531506694916,259.475369117667,665.1835534953592,844.1528196440564,0.9106209781000032
deephit,mimic_se,2,0.7325419456041224,0.1421796411422951,278.75205370957104,676.5673551513329,897.9242158118592,1.1640632469023596e-05
mtlr,mimic_se,2,0.7126245099200766,0.1358560850542304,389597.15049566486,390167.5322379798,390310.36129118415,2.4061753470749567e-26
dsm,mimic_se,2,0.7401948088652373,0.1267423353707628,252.4085655108497,637.6257252090093,834.5687798943561,0.343371984572601
mensa,mimic_se,2,0.7446506760444367,0.1240548174962682,260.2831770870391,630.2209451449053,818.799614884644,0.6891179466896634
coxph,seer_se,3,0.6976001367259222,0.1675139086698971,20.5455597263869,29.97483074708413,37.67764467366965,0.0201462983984615
coxboost,seer_se,3,0.7634267410796616,0.1500979000319979,17.438306299146397,26.37248257892362,34.189370094312586,0.0218644897464763
rsf,seer_se,3,0.7510480739130067,0.1684742166925762,19.996542260743745,27.919539170962988,36.42544786970887,0.0013068722019406
deepsurv,seer_se,3,0.7441541841391258,0.1535082045603009,18.39242432318297,28.146280008368965,35.377709617617235,0.0002523963588548
deephit,seer_se,3,0.7514495693569698,0.1717802344444719,20.709026448343817,29.4930073267676,38.07408398690136,2.265370532720417e-09
mtlr,seer_se,3,0.6965728959848821,0.165775486625499,20.23879485534268,31.59912746935114,38.4779091552316,0.4742243068055259
dsm,seer_se,3,0.7654606403587311,0.1459778766799497,20.23801203880376,44.10028465433693,45.87121961360512,0.0033337174323647
mensa,seer_se,3,0.7607809595809125,0.147247433315536,17.074023479066007,26.87303404472128,34.08289529458617,0.7927517638556275
coxph,mimic_se,3,0.742257754830382,0.1322674347723482,267.59754420359513,595.1753973093604,791.4130098141427,0.8605186814765353
coxboost,mimic_se,3,0.7272012466792874,0.1480776409912841,290.82280970010487,626.7666437645697,849.079371441304,0.5347562710645201
rsf,mimic_se,3,0.717747690981923,0.1557674226723932,314.7813852348125,667.8528045031552,890.1655321798895,0.8242118841637616
deepsurv,mimic_se,3,0.7481118147714897,0.1286909047456167,263.0758099299429,671.7705946502399,843.1796961301789,0.7560906179455945
deephit,mimic_se,3,0.7445811786535437,0.1439120503579412,278.1225680093707,652.7083371123925,875.0168483934334,9.63450803222262e-07
mtlr,mimic_se,3,0.7195998547860111,0.1353476197440398,280.05370035425534,1635.2422760408424,1803.8885967536453,4.171594843436228e-16
dsm,mimic_se,3,0.7484835625831955,0.1304567682686611,256.68024381852126,642.8237406942089,829.9321903769218,0.6752513043186779
mensa,mimic_se,3,0.7518573675930781,0.1278436106003557,254.7705722082043,606.1537020314977,805.9165638024868,0.8039594019450965
coxph,seer_se,4,0.7010458105320451,0.1688697030923787,20.252002803213305,29.897945679510656,38.39456135675741,0.0064510912988184
coxboost,seer_se,4,0.7679806175378525,0.1520133322031626,17.116183051038156,25.94369759779837,34.590600516287466,4.321965785896645e-05
rsf,seer_se,4,0.7567283114532743,0.1707152392607255,19.68422783628082,27.510252511303232,36.84939550601597,4.754966465932242e-06
deepsurv,seer_se,4,0.7502981336640082,0.1548567511872098,18.13555388222029,28.201441548221297,36.09041585519479,0.0007837932654929
deephit,seer_se,4,0.7502555156332436,0.1739482269369312,20.282211836371904,28.630650381529136,37.96661601421967,1.2090399844453946e-10
mtlr,seer_se,4,0.6855731547483803,0.1739546628174602,20.91664651449248,32.436609962970564,40.09887859983032,6.881507882697085e-07
dsm,seer_se,4,0.7317097404022783,0.1621939316781443,20.471688611841028,36.40439829089195,41.47871977914606,0.0041845573341222
mensa,seer_se,4,0.764042448585582,0.1492757060714935,16.45254844199659,25.99713364955997,34.538199273062354,0.2474391832666984
coxph,mimic_se,4,0.7441490684462404,0.1303947607376024,265.2323263364213,593.3760932241664,806.410537827271,0.7973845909916621
coxboost,mimic_se,4,0.7317384207466088,0.1471517673237818,289.4067310646477,622.2855780733269,859.2049215101857,0.8149748941384263
rsf,mimic_se,4,0.7238291762356319,0.1562007237632551,315.84507956613766,664.1676607092106,901.0870041460696,0.8057533669666846
deepsurv,mimic_se,4,0.7508990580587788,0.1260815295791707,256.8555397340545,664.9942337057657,855.1252838500433,0.8514821071895385
deephit,mimic_se,4,0.7405559369459375,0.1435468524655255,278.670568293088,645.9471239602011,882.8002768977367,0.0007129476388744
mtlr,mimic_se,4,0.7204966632992686,0.1353685948844609,13251.831453864816,13747.176702823232,13920.991240357844,7.368532751412222e-40
dsm,mimic_se,4,0.7500947274485108,0.1285895877387668,258.7958887485301,680.7514450949299,867.7288295783923,0.3793887146297112
mensa,mimic_se,4,0.7573675009503752,0.1254443122320943,248.707598693726,599.9609899966728,815.6035514958401,0.0601396516440745
coxph,seer_se,5,0.6994147794690629,0.1719112247355565,20.892216395797828,30.21410021751733,38.96147523512495,0.004078877754588
coxboost,seer_se,5,0.7640396748283778,0.1555493635062555,17.80648204447277,26.401013846102785,35.21666768263431,0.0013334885734065
rsf,seer_se,5,0.7483485056193903,0.1742669180430333,20.42774535734728,28.27817986391928,37.73911483402959,8.898913214425523e-06
deepsurv,seer_se,5,0.7557799764567306,0.1531022807554909,17.875416237657962,27.99173014717041,35.73804097892333,0.0008239773726225
